model,price_low,price_msrp,fhd_medium,fhd_ultra,qhd_ultra,uhd_ultra,specs
GeForce RTX 5090,"$3,680","$2,000",197.5,157.6,143.0,105.8,"GB202, 21760 shaders, 2407MHz, 32GB GDDR7@28Gbps, 1792GB/s, 575W"
GeForce RTX 4090,"$2,925","$1,600",194.6,149.6,126.1,85.4,"AD102, 16384 shaders, 2520MHz, 24GB GDDR6X@21Gbps, 1008GB/s, 450W"
GeForce RTX 5080,"$1,449","$1,000",178.5,133.9,111.7,71.1,"GB203, 10752 shaders, 2617MHz, 16GB GDDR7@30Gbps, 690GB/s, 360W"
GeForce RTX 4080 Super,"$1,230","$1,000",174.2,129.9,105.1,65.0,"AD103, 10240 shaders, 2550MHz, 16GB GDDR6X@23Gbps, 736GB/s, 320W"
Radeon RX 7900 XTX,"$1,120","$1,000",174.1,125.1,102.6,64.3,"Navi 31, 6144 shaders, 2500MHz, 24GB GDDR6@20Gbps, 960GB/s, 355W"
GeForce RTX 5070 Ti,$980,$750,169.4,124.7,101.5,62.1,"GB203, 8960 shaders, 2452MHz, 16GB GDDR7@28Gbps, 896GB/s, 300W"
Radeon RX 9070 XT,"$1,070",$600,169.0,119.9,98.3,61.0,"Navi 48, 4096 shaders, 2970MHz, 16GB GDDR6@20Gbps, 640GB/s, 304W"
GeForce RTX 4070 Ti Super,"$1,149",$800,159.5,116.2,91.5,54.4,"AD103, 8448 shaders, 2610MHz, 16GB GDDR6X@21Gbps, 672GB/s, 285W"
Radeon RX 7900 XT,$650,$750,160.5,114.0,91.4,54.6,"Navi 31, 5376 shaders, 2400MHz, 20GB GDDR6@20Gbps, 800GB/s, 315W"
Radeon RX 9070,$670,$550,157.1,109.7,87.4,53.1,"Navi 48, 3584 shaders, 2520MHz, 16GB GDDR6@20Gbps, 640GB/s, 220W"
GeForce RTX 4070 Ti,$900,$800,153.5,110.9,85.5,49.9,"AD104, 7680 shaders, 2610MHz, 12GB GDDR6X@21Gbps, 504GB/s, 285W"
GeForce RTX 5070,$563,$550,147.4,106.4,81.3,47.5,"GB205, 6144 shaders, 2512MHz, 12GB GDDR7@28Gbps, 672GB/s, 250W"
GeForce RTX 4070 Super,$779,$600,145.8,105.0,79.7,45.9,"AD104, 7168 shaders, 2475MHz, 12GB GDDR6X@21Gbps, 504GB/s, 220W"
Radeon RX 7800 XT,$619,$500,132.8,90.1,69.5,40.7,"Navi 32, 3840 shaders, 2430MHz, 16GB GDDR6@19.5Gbps, 624GB/s, 263W"
GeForce RTX 4070,$719,$550,129.6,92.1,68.5,39.4,"AD104, 5888 shaders, 2475MHz, 12GB GDDR6X@21Gbps, 504GB/s, 200W"
GeForce RTX 5060 Ti 16GB,$430,$430,118.4,83.5,61.6,35.3,"GB206, 4608 shaders, 2572MHz, 16GB GDDR7@28Gbps, 448GB/s, 180W"
Radeon RX 7700 XT,$518,$400,114.8,79.1,61.0,34.7,"Navi 32, 3456 shaders, 2544MHz, 12GB GDDR6@18Gbps, 432GB/s, 245W"
GeForce RTX 4060 Ti 16GB,$736,$500,102.4,72.4,52.4,29.2,"AD106, 4352 shaders, 2535MHz, 16GB GDDR6@18Gbps, 288GB/s, 160W"
GeForce RTX 4060 Ti 8GB,$533,$400,103.4,71.8,48.9,21.1,"AD106, 4352 shaders, 2535MHz, 8GB GDDR6@18Gbps, 288GB/s, 160W"
Radeon RX 7600 XT,$420,$330,85.6,57.8,42.1,22.7,"Navi 33, 2048 shaders, 2755MHz, 16GB GDDR6@18Gbps, 288GB/s, 190W"
Intel Arc B580,$360,$250,81.8,56.4,43.2,25.1,"BMG-G21, 2560 shaders, 2850MHz, 12GB GDDR6@19Gbps, 456GB/s, 190W"
GeForce RTX 4060,$390,$300,83.4,58.2,39.3,16.8,"AD107, 3072 shaders, 2460MHz, 8GB GDDR6@17Gbps, 272GB/s, 115W"
GeForce RTX 3060 12GB,$330,$330,70.1,48.3,34.9,20.0,"GA106, 3584 shaders, 1777MHz, 12GB GDDR6@15Gbps, 360GB/s, 170W"
Intel Arc B570,$329,$220,72.3,47.8,35.2,16.1,"BMG-G21, 2304 shaders, 2750MHz, 10GB GDDR6@19Gbps, 380GB/s, 150W"
Intel Arc A770 16GB,$300,$330,63.4,46.9,36.7,22.2,"ACM-G10, 4096 shaders, 2400MHz, 16GB GDDR6@17.5Gbps, 560GB/s, 225W"
Radeon RX 7600,$283,$270,80.2,42.7,28.2,12.7,"Navi 33, 2048 shaders, 2655MHz, 8GB GDDR6@18Gbps, 288GB/s, 165W"
Intel Arc A750,$200,$200,57.4,40.7,30.9,16.9,"ACM-G10, 3584 shaders, 2350MHz, 8GB GDDR6@16Gbps, 512GB/s, 225W"
Radeon RX 6600,$220,$330,64.1,37.2,24.1,12.2,"Navi 23, 1792 shaders, 2491MHz, 8GB GDDR6@14Gbps, 224GB/s, 132W"
