,Model,1080p_Ultra,1080p_Medium,1440p_Ultra,4K_Ultra,Specs
0,GeForce RTX 4090,100.0% (159.9fps),100.0% (132.7fps),100.0% (97.8fps),100.0% (53.5fps),"AD102, 16384 shaders, 2520MHz, 24GB GDDR6X@21Gbps, 1008GB/s, 450W"
1,GeForce RTX 4080,83.1% (132.9fps),78.9% (104.8fps),72.9% (71.3fps),68.6% (36.7fps),"AD103, 9728 shaders, 2505MHz, 16GB GDDR6X@22.4Gbps, 717GB/s, 320W"
2,GeForce RTX 3090 Ti,71.6% (114.5fps),65.3% (86.7fps),61.1% (59.7fps),57.8% (30.9fps),"GA102, 10752 shaders, 1860MHz, 24GB GDDR6X@21Gbps, 1008GB/s, 450W"
3,GeForce RTX 4070 Ti,71.6% (114.4fps),64.8% (86.0fps),58.0% (56.8fps),52.9% (28.3fps),"AD104, 7680 shaders, 2610MHz, 12GB GDDR6X@21Gbps, 504GB/s, 285W"
4,GeForce RTX 3090,67.3% (107.6fps),59.3% (78.7fps),54.8% (53.6fps),50.9% (27.2fps),"GA102, 10496 shaders, 1695MHz, 24GB GDDR6X@19.5Gbps, 936GB/s, 350W"
5,Radeon RX 7900 XTX,67.2% (107.5fps),60.0% (79.7fps),54.0% (52.8fps),48.7% (26.1fps),"Navi 31, 6144 shaders, 2500MHz, 24GB GDDR6@20Gbps, 960GB/s, 355W"
6,GeForce RTX 3080 Ti,65.7% (105.0fps),57.7% (76.6fps),53.3% (52.2fps),49.5% (26.5fps),"GA102, 10240 shaders, 1665MHz, 12GB GDDR6X@19Gbps, 912GB/s, 350W"
7,GeForce RTX 3080 12GB,64.5% (103.1fps),56.5% (75.0fps),51.8% (50.7fps),47.5% (25.4fps),"GA102, 8960 shaders, 1845MHz, 12GB GDDR6X@19Gbps, 912GB/s, 400W"
8,Radeon RX 7900 XT,60.9% (97.4fps),53.2% (70.5fps),47.0% (46.0fps),41.5% (22.2fps),"Navi 31, 5736 shaders, 2400MHz, 20GB GDDR6@20Gbps, 800GB/s, 315W"
9,GeForce RTX 4070,60.7% (97.2fps),52.3% (69.4fps),46.3% (45.2fps),41.2% (22.0fps),"AD104, 5888 shaders, 2475MHz, 12GB GDDR6X@21Gbps, 504GB/s, 200W"
10,GeForce RTX 3080,59.3% (94.8fps),51.7% (68.7fps),47.3% (46.3fps),42.6% (22.8fps),"GA102, 8704 shaders, 1710MHz, 10GB GDDR6X@19Gbps, 760GB/s, 320W"
11,GeForce RTX 3070 Ti,50.1% (80.2fps),42.1% (55.8fps),37.0% (36.1fps), ,"GA104, 6144 shaders, 1770MHz, 8GB GDDR6X@19Gbps, 608GB/s, 290W"
